name,reason
"Community Health Center, Moka",outside Bengaluru
"Community Health Center, Roopanagudi",outside Bengaluru
"Community Health Center, Thoranagallu",outside Bengaluru
"Community Health Center, Thayamagondalu",outside Bengaluru
"Community Health Center, Vijayapura",outside Bengaluru
"Community Health Center, Hulsoor",outside Bengaluru
"Community Health Center, Rajeshwar",outside Bengaluru
"Community Health Center, Mannekhalli, (FRU)",outside Bengaluru
"Community Health Center, Hallikhed B",outside Bengaluru
"Community Health Center, Chitguppa",outside Bengaluru
"Community Health Center, Santhpur",outside Bengaluru
"Community Health Center, Kamalnagar",outside Bengaluru
"Community Health Center, Nittur B",outside Bengaluru
"Community Health Center, Guluru",outside Bengaluru
"Community Health Center, Batlahalli",outside Bengaluru
"Community Health Center, Birur, (FRU)",outside Bengaluru
"Community Health Center, Yagati",outside Bengaluru
"Community Health Center, Panchanahalli",outside Bengaluru
"Community Health Center, Kalasa",outside Bengaluru
"Community Health Center, Ajjampura",outside Bengaluru
"Community Health Center, Nayakanahatti",outside Bengaluru
"Community Health Center, Parashurampura",outside Bengaluru
"Community Health Center, Dharmapura",outside Bengaluru
"Community Health Center, Maradihalli",outside Bengaluru
"Community Health Center, Bharamannanayakanadurga",outside Bengaluru
"Community Health Center, Belaguru",outside Bengaluru
"Community Health Center, Kanchipura",outside Bengaluru
"Community Health Center, Srirampura",outside Bengaluru
"Community Health Center, Ramapura",outside Bengaluru
"Community Health Center, Bharamasagara",outside Bengaluru
"Community Health Center, Sirigere",outside Bengaluru
"Community Health Center, Vamadapadav",outside Bengaluru
"Community Health Center, Vittal",outside Bengaluru
"Community Health Center, Moodabidri",outside Bengaluru
"Community Health Center, Mulki",outside Bengaluru
"Community Health Center, Lakshmeswar, (FRU)",outside Bengaluru
"Community Health Center, Gajendraghad",outside Bengaluru
"Community Health Center, Masur",outside Bengaluru
"Community Health Center, Rattihalli",outside Bengaluru
"Community Health Center, Akkialur, (FRU)",outside Bengaluru
"Community Health Center, Guttal",outside Bengaluru
"Community Health Center, Bankapura",outside Bengaluru
"Community Health Center, Madanahippargi",outside Bengaluru
"Community Health Center, Narona",outside Bengaluru
"Community Health Center, Nimbarga",outside Bengaluru
"Community Health Center, Gadakeshwar",outside Bengaluru
"Community Health Center, Kunchavaram",outside Bengaluru
"Community Health Center, Gundagurthi",outside Bengaluru
"Community Health Center, Hebbal",outside Bengaluru
"Community Health Center, Kalagi",outside Bengaluru
"Community Health Center, Shahabad",outside Bengaluru
"Community Health Center, Wadi",outside Bengaluru
"Community Health Center, Nelogi",outside Bengaluru
"Community Health Center, Yadrami",outside Bengaluru
"Community Health Center, D.Ganagapur",outside Bengaluru
"Community Health Center, Station Ganagapur",outside Bengaluru
"Community Health Center, Malkhed",outside Bengaluru
"Community Health Center, Mudhol",outside Bengaluru
"Community Health Center, Arakera",outside Bengaluru
"Community Health Center, Jalahalli",outside Bengaluru
"Community Health Center, Annahosur",outside Bengaluru
