ward_no,ward_name,ward_label,population,area_sqkm,density_per_sqkm,sample_points,points_reachable,median_min,mean_min,best_min,worst_min,share_under_30,median_direct_only,median_800m,median_frequent,median_general,straight_line_km,share_reachable,band,band_colour,people_over_45,people_over_60,crow_fly_min,penalty_ratio
134,Bapuji Nagar,134-Bapuji Nagar,49484,0.6714640546875,73695.6798425046,10.0,10.0,19.026094055706707,19.13388613695613,15.187643098214547,23.668710287929652,1.0,19.026094055706707,19.026094055706707,19.026094055706707,19.026094055706707,1.5220875244565364,1.0,Under 30 min,#2e8b7a,0,0,19.026094055706704,1.0000000000000002
61,S K Garden,61-S K Garden,38050,1.306276375,29128.598456050313,21.0,17.0,19.09566670472325,49.01201805544788,12.996403617067156,23.512671669747142,0.8095238095238095,19.09566670472325,19.09566670472325,19.09566670472325,19.09566670472325,1.8503366912556296,0.8095238095238095,Under 30 min,#2e8b7a,0,0,23.12920864069537,0.8256083033954225
8,Kodigehalli,8-Kodigehalli,47546,3.8236169232562487,12434.823088791312,60.0,60.0,19.148021493339584,22.174210780933723,6.822792008216598,56.143130713285636,0.85,19.148021493339584,19.148021493339584,19.148021493339584,19.148021493339584,1.531841719467167,1.0,Under 30 min,#2e8b7a,0,0,19.148021493339588,0.9999999999999998
112,Domlur,112-Domlur,30638,1.7494729140625,17512.703256922476,28.0,27.0,19.229904457690044,25.12807568017602,9.334373150591556,32.593552722772436,0.9285714285714286,19.229904457690044,19.229904457690044,19.229904457690044,19.229904457690044,1.5550956855576228,0.9642857142857143,Under 30 min,#2e8b7a,0,0,19.438696069470286,0.9892589703016056
127,Mudalapalya,127-Mudalapalya,43729,0.9832514879813087,44473.87116573707,16.0,16.0,19.349392716142344,22.99793189862118,14.572962111495949,51.87463559151707,0.875,19.349392716142344,19.349392716142344,19.349392716142344,19.349392716142344,2.5253164090692906,1.0,Under 30 min,#2e8b7a,0,0,31.566455113366136,0.6129732542552508
20,Ganga Nagar,20-Ganga Nagar,27361,2.26494566015625,12080.201517113866,36.0,36.0,19.388430064819737,19.936793737102594,13.801089964608522,33.842742215624185,0.9166666666666666,19.388430064819737,19.16770023990488,19.388430064819737,19.388430064819737,1.7026899987039177,1.0,Under 30 min,#2e8b7a,0,0,21.28362498379897,0.9109552568971757
49,Lingarajapura,49-Lingarajapura,37955,0.87811863671875,43223.08901428828,12.0,12.0,19.52953383845628,20.11669378783692,13.182973449237299,34.47995735948115,0.9166666666666666,19.52953383845628,19.52953383845628,19.52953383845628,19.52953383845628,1.5623627070765025,1.0,Under 30 min,#2e8b7a,0,0,19.52953383845628,1.0
178,Sarakki,178-Sarakki,31034,1.33046598046875,23325.66217819872,21.0,21.0,19.614287527531882,19.603076959561985,11.904976609748967,34.964699588653644,0.9523809523809523,19.614287527531882,19.614287527531882,19.614287527531882,23.624061146759907,1.5691430022025505,1.0,Under 30 min,#2e8b7a,0,0,19.614287527531882,1.0
117,Shanthi Nagar,117-Shanthi Nagar,42095,2.692142667993626,15636.244133886172,44.0,43.0,19.770378780626842,23.568360483524586,9.586123510996076,39.19184560060104,0.9090909090909091,19.770378780626842,18.717910083899294,19.770378780626842,20.011564531584018,1.6095566694524905,0.9772727272727273,Under 30 min,#2e8b7a,0,0,20.11945836815613,0.98264965283152
79,Sarvagna Nagar,79-Sarvagna Nagar,37291,3.65509267578125,10202.477285211193,56.0,56.0,19.823328212583718,21.212787345966053,10.68871124021899,41.2942191551216,0.875,19.823328212583718,19.823328212583718,19.823328212583718,19.823328212583718,1.5858662570066977,1.0,Under 30 min,#2e8b7a,0,0,19.82332821258372,0.9999999999999998
