ward_no,ward_label,minutes,minutes_direct_only,minutes_800m,minutes_frequent,minutes_general,straight_line_km,easting,northing
5,5-Jakkuru,50.30706308696165,50.30706308696165,50.30706308696165,,50.30706308696165,2.1605866042793793,783571.625,1448021.0
5,5-Jakkuru,23.89249121833256,23.89249121833256,23.89249121833256,23.89249121833256,23.89249121833256,1.9113992974666048,783821.625,1448021.0
5,5-Jakkuru,20.780700459351106,20.780700459351106,20.780700459351106,20.780700459351106,20.780700459351106,1.6624560367480885,784071.625,1448021.0
5,5-Jakkuru,17.67357169743717,17.67357169743717,17.67357169743717,17.67357169743717,17.67357169743717,1.4138857357949735,784321.625,1448021.0
5,5-Jakkuru,14.574086987102447,14.574086987102447,14.574086987102447,14.574086987102447,14.574086987102447,1.1659269589681958,784571.625,1448021.0
5,5-Jakkuru,11.488434900838568,11.488434900838568,11.488434900838568,11.488434900838568,11.488434900838568,0.9190747920670854,784821.625,1448021.0
5,5-Jakkuru,8.431815429311914,8.431815429311914,8.431815429311914,8.431815429311914,8.431815429311914,0.6745452343449532,785071.625,1448021.0
5,5-Jakkuru,5.453268414186052,5.453268414186052,5.453268414186052,5.453268414186052,5.453268414186052,0.43626147313488417,785321.625,1448021.0
5,5-Jakkuru,2.812829778059107,2.812829778059107,2.812829778059107,2.812829778059107,2.812829778059107,0.22502638224472857,785571.625,1448021.0
5,5-Jakkuru,2.37004985675678,2.37004985675678,2.37004985675678,2.37004985675678,2.37004985675678,0.1896039885405424,785821.625,1448021.0
5,5-Jakkuru,4.780534623521685,4.780534623521685,4.780534623521685,4.780534623521685,4.780534623521685,0.3824427698817348,786071.625,1448021.0
5,5-Jakkuru,7.72147241462834,7.72147241462834,7.72147241462834,7.72147241462834,7.72147241462834,0.6177177931702672,786321.625,1448021.0
5,5-Jakkuru,10.76661558768786,10.76661558768786,10.76661558768786,10.76661558768786,10.76661558768786,0.8613292470150289,786571.625,1448021.0
5,5-Jakkuru,13.847387341163673,13.847387341163673,13.847387341163673,13.847387341163673,13.847387341163673,1.1077909872930938,786821.625,1448021.0
11,11-Kuvempu Nagar,45.206619674419024,45.206619674419024,45.206619674419024,,45.206619674419024,4.4911114413509425,775571.625,1448271.0
3,3-Atturu,43.32730241493713,43.32730241493713,43.32730241493713,,43.32730241493713,4.7233306816767655,775821.625,1448271.0
3,3-Atturu,41.56836224766968,41.56836224766968,41.56836224766968,,41.56836224766968,4.957279846680523,776071.625,1448271.0
3,3-Atturu,42.7848793918723,42.7848793918723,40.699677117417195,55.53632430576162,42.7848793918723,5.192725125417349,776321.625,1448271.0
3,3-Atturu,45.90480164297824,45.90480164297824,36.32783003482057,54.72006153642312,45.90480164297824,5.111357814829879,776571.625,1448271.0
3,3-Atturu,33.37359043265093,33.37359043265093,33.37359043265093,33.37359043265093,33.37359043265093,4.870379775850182,776821.625,1448271.0
3,3-Atturu,30.880718549636473,30.880718549636473,30.880718549636473,30.880718549636473,30.880718549636473,4.630358475409703,777071.625,1448271.0
3,3-Atturu,31.065066087973083,31.065066087973083,31.065066087973083,31.065066087973083,31.065066087973083,4.391450792231021,777321.625,1448271.0
3,3-Atturu,32.64526665906028,32.64526665906028,32.64526665906028,32.64526665906028,32.64526665906028,4.153848879096887,777571.625,1448271.0
9,9-Vidyaranyapura,38.146894253937376,38.146894253937376,33.617005222636436,38.146894253937376,38.146894253937376,3.9177903160024345,777821.625,1448271.0
9,9-Vidyaranyapura,,,35.6143005418469,,,3.683571827717012,778071.625,1448271.0
9,9-Vidyaranyapura,,,48.27854817382381,,,3.45156802913378,778321.625,1448271.0
9,9-Vidyaranyapura,,,,,,3.2222573313635956,778571.625,1448271.0
9,9-Vidyaranyapura,,,,,,2.9962581262825867,778821.625,1448271.0
9,9-Vidyaranyapura,,,52.219107116544876,,,2.7743797881873404,779071.625,1448271.0
9,9-Vidyaranyapura,,,49.18478778353555,,,2.5576949894173127,779321.625,1448271.0
9,9-Vidyaranyapura,46.308710974673424,46.308710974673424,24.219709182525506,,46.308710974673424,2.347642244610201,779571.625,1448271.0
4,4-Yelahanka Satellite Town,44.577329805858575,44.577329805858575,22.79839718013074,,44.577329805858575,2.1461697412987673,779821.625,1448271.0
4,4-Yelahanka Satellite Town,24.449134085683937,24.449134085683937,22.410662392154606,24.449134085683937,24.449134085683937,1.955930726854715,780071.625,1448271.0
